sequence,next
"[19, 27, 109, 15, 21]",179
"[46, 434, 146, 142, 304]",54
"[434, 146, 142, 304, 54]",22
"[46, 295, 235, 126, 278]",247
"[347, 268, 131, 30, 227]",79
"[268, 131, 30, 227, 79]",1
"[131, 30, 227, 79, 1]",211
"[30, 227, 79, 1, 211]",156
"[227, 79, 1, 211, 156]",45
"[451, 452, 141, 19, 270]",167
"[452, 141, 19, 270, 167]",66
"[141, 19, 270, 167, 66]",66
"[199, 47, 325, 3, 3]",150
"[47, 325, 3, 3, 150]",29
"[325, 3, 3, 150, 29]",64
"[3, 3, 150, 29, 64]",27
"[3, 150, 29, 64, 27]",278
"[191, 27, 55, 55, 275]",278
"[39, 41, 117, 25, 243]",264
"[41, 117, 25, 243, 264]",105
"[347, 12, 182, 66, 66]",171
"[460, 335, 3, 320, 461]",12
"[335, 3, 320, 461, 12]",174
"[3, 320, 461, 12, 174]",16
"[47, 149, 109, 15, 15]",67
"[119, 25, 263, 152, 415]",79
"[25, 263, 152, 415, 79]",228
"[263, 152, 415, 79, 228]",126
"[39, 39, 104, 29, 93]",405
"[123, 60, 409, 173, 301]",301
"[244, 424, 354, 121, 321]",55
"[424, 354, 121, 321, 55]",356
"[104, 25, 15, 15, 299]",22
"[203, 199, 41, 119, 415]",169
"[199, 41, 119, 415, 169]",22
"[146, 41, 47, 135, 301]",105
"[41, 47, 135, 301, 105]",105
"[47, 135, 301, 105, 105]",12
"[135, 301, 105, 105, 12]",88
"[301, 105, 105, 12, 88]",84
"[105, 105, 12, 88, 84]",2
"[105, 12, 88, 84, 2]",252
"[12, 88, 84, 2, 252]",278
"[88, 84, 2, 252, 278]",33
"[10, 168, 178, 93, 21]",81
"[193, 41, 74, 28, 28]",142
"[41, 74, 28, 28, 142]",319
"[74, 28, 28, 142, 319]",470
"[28, 28, 142, 319, 470]",20
"[28, 142, 319, 470, 20]",278
"[142, 319, 470, 20, 278]",113
"[319, 470, 20, 278, 113]",324
"[470, 20, 278, 113, 324]",7
"[20, 278, 113, 324, 7]",114
"[278, 113, 324, 7, 114]",471
"[65, 29, 12, 64, 19]",284
"[161, 146, 40, 3, 25]",366
"[146, 40, 3, 25, 366]",105
"[40, 3, 25, 366, 105]",13
"[69, 230, 340, 91, 9]",131
"[230, 340, 91, 9, 131]",122
"[340, 91, 9, 131, 122]",263
"[91, 9, 131, 122, 263]",205
"[9, 131, 122, 263, 205]",14
"[131, 122, 263, 205, 14]",21
"[122, 263, 205, 14, 21]",145
"[146, 57, 42, 67, 179]",33
"[9, 41, 78, 2, 323]",187
"[92, 3, 105, 205, 84]",27
"[3, 105, 205, 84, 27]",55
"[105, 205, 84, 27, 55]",145
"[205, 84, 27, 55, 145]",145
"[230, 82, 74, 180, 49]",21
"[82, 74, 180, 49, 21]",145
"[74, 180, 49, 21, 145]",145
"[180, 49, 21, 145, 145]",187
"[25, 25, 84, 42, 42]",7
"[202, 131, 47, 30, 476]",180
"[131, 47, 30, 476, 180]",279
"[47, 30, 476, 180, 279]",45
"[477, 353, 154, 74, 142]",452
"[353, 154, 74, 142, 452]",7
"[25, 12, 142, 21, 21]",7
"[226, 480, 30, 142, 27]",189
"[480, 30, 142, 27, 189]",293
"[30, 142, 27, 189, 293]",21
"[142, 27, 189, 293, 21]",21
"[27, 189, 293, 21, 21]",7
"[65, 4, 42, 42, 27]",66
"[400, 237, 31, 66, 145]",483
"[237, 180, 197, 118, 12]",242
"[60, 163, 27, 489, 186]",22
"[457, 457, 48, 13, 21]",7
"[256, 451, 335, 492, 170]",7
"[104, 59, 10, 41, 36]",30
"[59, 10, 41, 36, 30]",30
"[10, 41, 36, 30, 30]",273
"[41, 36, 30, 30, 273]",117
"[36, 30, 30, 273, 117]",4
"[30, 30, 273, 117, 4]",361
"[30, 273, 117, 4, 361]",235
"[273, 117, 4, 361, 235]",19
